Concept name,Alternative Concept name,Scope or Descriptive Note,Broader Concept Name
Escheated enslaved persons,,Persons whose enslavement reverted to the state when the enslavers died intestate (without wills) or without legal heirs.,Escheat related CPF  
Escheating associated persons,,Persons associated with escheated enslaved persons.,Escheat related CPF  
Insurance related CPF,,,Slavery era related CPF
Insured enslaved persons,,Enslaved persons covered for the enslavers by insurance.,Insurance related CPF
Insurers of enslaved persons,,Persons who insured enslaved persons for their financial benefit or security.,Insurance related CPF
Insurance corporate bodies,,Corporate bodies who provided insurance to enslavers for their enslaved persons.,Insurance related CPF
Convict leasing related CPF ,,,Slavery era related CPF
Leased convicts/prisoners,Leased convicts/prisoners,,Convict leasing related CPF 
Leasors of convicts/prisoners,Leasers of convicts/prisoners,CPF involved with the leasing of convicts or prisoners.,Convict leasing related CPF 
Mortgage related CPF,,,Slavery era related CPF
Mortgaged enslaved persons,,Enslaved persons whose valuation was mortgaged. ,Mortgage related CPF
Enslaved person morgage providers (CPF),Slave morgagers,CPF who provide mortgages on enslaved persons.,Mortgage related CPF
Enslaved person morgage purchasers (CPF),,CPF who purchase mortgages on enslaved persons.,Mortgage related CPF
Enslaved person auction related CPF,,,Slavery era related CPF
Slave auction houses/places,,Sites where enslaved persons were held and auctioned.,Enslaved person auction related CPF
Enslaved person auctioneers,Slave auctioneers,Persons who conduct auctions of enslaved persons.,Enslaved person auction related CPF
Auctioned enslaved persons,Auctioned slaves,Enslaved persons who were auctioned.,Enslaved person auction related CPF
Tithe related CPF,,,Slavery era related CPF
Tithable persons,Taxable persons,Persons for whom taxes or tithes were paid.,Tithe related CPF
Tithable properties,Taxable properties,Properties for whom taxes or tithes were paid.,Tithe related CPF
Tithable property owners,Taxable property owners,CPF owners of tithable properties.,Tithe related CPF
Slavery era finance related CPF,,,
Slave traders,Slave dealers,Persons who bought and sold enslaved persons.,Slavery era finance related CPF
Slave financers,,CPF who provided financial backing for the slave trade.,Slavery era finance related CPF
Slavery era transportation related CPF,,,
Crew members,,"Persons who are members of groups working on or operating boats, ships, trains, and other modes of transportation.",Slavery era transportation related CPF
Migrant related CPF,,,Slavery era related CPF
Migrant,Relocatees; Migrators,Persons who move from one area to settle in other areas.,Migrant related CPF
Facilitators of migration,,CPF who facilitate migration.,Migrant related CPF
Overland transport of enslaved persons related CPF,,,Slavery era related CPF
Coffle person,Coffle associated person,,Overland transport of enslaved persons related CPF
Coffle,,Lines of enslaved persons bound together with chains or ropes and forced to walk to another location.,Overland transport of enslaved persons related CPF
Coffle person relate corporate body,,,Overland transport of enslaved persons related CPF
Enslaved persons transported overland,,,Overland transport of enslaved persons related CPF
Overland transporter of enslaved persons,,,Overland transport of enslaved persons related CPF
Waterway transport of enslaved persons related CPF,,,Slavery era related CPF
Boat owners (enslaved transport vessel),,CPF who own boats.,Waterway transport of enslaved persons related CPF
Ship owners (enslaved transport vessel),,CPF who own ships.,Waterway transport of enslaved persons related CPF
Ferry users,,CPF who use ferries.,"Waterway transport of enslaved persons related CPF
Waterway vessel users"
