NMAI ARK,NMAI Internal EMu ID,Term,Scope Note,Used for,Language Notes,Entire Tree,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
http://n2t.net/ark:/65665/sz8d59113e5-c077-497d-bf15-534de9c45480,NMAICulture_589,Chickahominy,,,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Chickahominy,North America,Woodlands,Mid-Atlantic,Powhatan,Chickahominy,,
http://n2t.net/ark:/65665/sz8d16b2448-a320-409b-98f5-d693a1110de2,NMAICulture_715,Mattaponi,,Mattapony; Mataponi,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Mattaponi,North America,Woodlands,Mid-Atlantic,Powhatan,Mattaponi,,
http://n2t.net/ark:/65665/sz87f1f89bb-918f-43f8-b4ba-8aea9ad26d57,NMAICulture_741,Nansemond,,,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Nansemond,North America,Woodlands,Mid-Atlantic,Powhatan,Nansemond,,
http://n2t.net/ark:/65665/sz811ba994b-7479-4a5e-bc34-96d1ed1f1b3a,NMAICulture_778,Pamunkey,,Pamunky,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Pamunkey,North America,Woodlands,Mid-Atlantic,Powhatan,Pamunkey,,
http://n2t.net/ark:/65665/sz8a7b6aea8-ce49-45dd-aa79-e6445ced7e98,NMAICulture_798,Patawomeck (Potomac),,,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Patawomeck (Potomac),North America,Woodlands,Mid-Atlantic,Powhatan,Patawomeck (Potomac),,
http://n2t.net/ark:/65665/sz8eb8d0f99-4944-4cae-9fcc-7ad44f383b96,NMAICulture_805,Rappahannock,,,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Rappahannock,North America,Woodlands,Mid-Atlantic,Powhatan,Rappahannock,,
http://n2t.net/ark:/65665/sz81906709b-d4ec-4a94-9936-5625656dd18b,NMAICulture_394,Powhatan,,,Language Family info:  Algic/Algonquian/Eastern,North America - Woodlands - Mid-Atlantic - Powhatan,North America,Woodlands,Mid-Atlantic,Powhatan,,,
http://n2t.net/ark:/65665/sz809b6d9c8-fc40-401e-b03b-f82aea028b02,NMAICulture_3241,Clemson Island (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Clemson Island (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Clemson Island (archaeological culture),,
http://n2t.net/ark:/65665/sz88c2c25a9-1fee-4c79-b01d-f87e049af959,NMAICulture_2691,Early Woodland Tradition (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Early Woodland Tradition (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Early Woodland Tradition (archaeological culture),,
http://n2t.net/ark:/65665/sz87f8da6c1-e6ec-4960-8768-bffe94bfff45,NMAICulture_2695,Late Woodland Tradition (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Late Woodland Tradition (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Late Woodland Tradition (archaeological culture),,
http://n2t.net/ark:/65665/sz8318ed235-6516-4d20-ac91-c3e34a21c07e,NMAICulture_2693,Middle Woodland Tradition (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Middle Woodland Tradition (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Middle Woodland Tradition (archaeological culture),,
http://n2t.net/ark:/65665/sz877b23c8c-3fac-4893-98be-bb19aff5315b,NMAICulture_3244,Minguannan (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Minguannan (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Minguannan (archaeological culture),,
http://n2t.net/ark:/65665/sz8c1cedd0f-3530-49b9-b41f-099da112a707,NMAICulture_3242,Monongahela (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Monongahela (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Monongahela (archaeological culture),,
http://n2t.net/ark:/65665/sz874180781-5bd5-4159-8675-c1e701af72f1,NMAICulture_3243,Shenks Ferry (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture) - Shenks Ferry (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),Shenks Ferry (archaeological culture),,
http://n2t.net/ark:/65665/sz84fef9669-c599-4273-bdc1-b53a9855dece,NMAICulture_2690,Woodland Tradition (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Woodland Tradition (archaeological culture),North America,Woodlands,Mid-Atlantic,Woodland Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz8257e317a-bfc4-4bff-9a17-9bcfcdeafdd4,NMAICulture_82,Mid-Atlantic,,,,North America - Woodlands - Mid-Atlantic,North America,Woodlands,Mid-Atlantic,,,,
