id,code-2,description,new_code,new_desc
99,cpf,"Creoles and pidgins, French-based",cpf,"Creoles and pidgins, French‑based"
100,cpp,"Creoles and pidgins, Portuguese-based",cpp,"Creoles and pidgins, Portuguese-based"
101,cre,Cree,cre,Cree
102,crh,Crimean Tatar; Crimean Turkish,crh,Crimean Tatar
103,crp,Creoles and pidgins,crp,Creoles and pidgins
104,csb,Kashubian,csb,Kashubian
105,cus,Cushitic languages,cus,Cushitic languages
106,cze,Czech,ces,Czech
107,ces,Czech,cse,Czech Sign Language
108,dak,Dakota,dak,Dakota
109,dan,Danish,dan,Danish
110,dar,Dargwa,dar,Dargwa
111,day,Land Dayak languages,day,Land Dayak languages
112,del,Delaware,del,Delaware
113,den,Slave (Athapascan),den,Slave (Athapascan)
114,dgr,Dogrib,dgr,Dogrib
115,din,Dinka,din,Dinka
116,div,Divehi; Dhivehi; Maldivian,div,Dhivehi
117,doi,Dogri,doi,Dogri (macrolanguage)
118,dra,Dravidian languages,dra,Dravidian languages
119,dsb,Lower Sorbian,dsb,Lower Sorbian
120,dua,Duala,dua,Duala
121,dum,"Dutch, Middle (ca.1050-1350)",dum,Middle Dutch (ca. 1050-1350)
122,dut,Dutch; Flemish,nld,Dutch
123,nld,Dutch; Flemish,odt,Old Dutch
124,dyu,Dyula,dyu,Dyula
125,dzo,Dzongkha,dzo,Dzongkha
126,efi,Efik,efi,Efik
127,egy,Egyptian (Ancient),egy,Egyptian (Ancient)
128,eka,Ekajuk,eka,Ekajuk
129,elx,Elamite,elx,Elamite
130,eng,English,eng,English
131,enm,"English, Middle (1100-1500)",enm,Middle English (1100-1500)
132,epo,Esperanto,epo,Esperanto
133,est,Estonian,est,Estonian
134,ewe,Ewe,ewe,Ewe
135,ewo,Ewondo,ewo,Ewondo
136,fan,Fang,fan,Fang (Equatorial Guinea)
137,fao,Faroese,fao,Faroese
138,fat,Fanti,fat,Fanti
139,fij,Fijian,fij,Fijian
140,fil,Filipino; Pilipino,fil,Filipino
141,fin,Finnish,fin,Finnish
142,fiu,Finno-Ugrian languages,fiu,Finno-Ugrian languages
143,fon,Fon,fon,Fon
144,fre,French,fra,French
145,fra,French,fsl,French Sign Language
146,frm,"French, Middle (ca.1400-1600)",frm,Middle French (ca. 1400-1600)
147,fro,"French, Old (842-ca.1400)",fro,Old French (842-ca. 1400)
148,frr,Northern Frisian,frr,Northern Frisian
149,frs,Eastern Frisian,frs,Eastern Frisian
150,fry,Western Frisian,fry,Western Frisian
151,ful,Fulah,ful,Fulah
152,fur,Friulian,fur,Friulian
153,gaa,Ga,gaa,Ga
154,gay,Gayo,gay,Gayo
155,gba,Gbaya,gba,Gbaya (Central African Republic)
156,gem,Germanic languages,gem,Germanic languages
157,geo,Georgian,Georgian,kat
158,kat,Georgian,kat,Georgian
159,ger,German,German,deu
160,deu,German,deu,German
161,gez,Geez,gez,Geez
162,gil,Gilbertese,gil,Gilbertese
163,gla,Gaelic; Scottish Gaelic,gla,Scottish Gaelic
164,gle,Irish,gle,Irish
165,glg,Galician,glg,Galician
166,glv,Manx,glv,Manx
167,gmh,"German, Middle High (ca.1050-1500)",gmh,Middle High German (ca. 1050-1500)
168,goh,"German, Old High (ca.750-1050)",goh,Old High German (ca. 750-1050)
169,gon,Gondi,gon,Gondi
170,gor,Gorontalo,gor,Gorontalo
171,got,Gothic,got,Gothic
172,grb,Grebo,grb,Grebo
173,grc,"Greek, Ancient (to 1453)",grc,Ancient Greek (to 1453)
174,gre,"Greek, Modern (1453-)",ell,Modern Greek (1453-)
175,ell,"Greek, Modern (1453-)",grk,Greek languages
176,grn,Guarani,grn,Guarani
177,gsw,Swiss German; Alemannic; Alsatian,gsw,Swiss German
178,guj,Gujarati,guj,Gujarati
179,gwi,Gwich'in,gwi,Gwichʼin
180,hai,Haida,hai,Haida
181,hat,Haitian; Haitian Creole,hat,Haitian
182,hau,Hausa,hau,Hausa
183,haw,Hawaiian,haw,Hawaiian
184,heb,Hebrew,heb,Hebrew
185,her,Herero,her,Herero
186,hil,Hiligaynon,hil,Hiligaynon
187,him,Himachali languages; Western Pahari languages,phj,Pahari
188,hin,Hindi,hin,Hindi
189,hit,Hittite,hit,Hittite
190,hmn,Hmong; Mong,hmn,Hmong
191,hmo,Hiri Motu,hmo,Hiri Motu
192,hrv,Croatian,hrv,Croatian
193,hsb,Upper Sorbian,hsb,Upper Sorbian
194,hun,Hungarian,hun,Hungarian
195,hup,Hupa,hup,Hupa
196,iba,Iban,iba,Iban
197,ibo,Igbo,ibo,Igbo
198,ice,Icelandic,isl,Icelandic
199,isl,Icelandic,icl,Icelandic Sign Language
200,ido,Ido,ido,Ido
201,iii,Sichuan Yi; Nuosu,iii,Sichuan Yi
202,ijo,Ijo languages,ijo,Ijo languages
203,iku,Inuktitut,iku,Inuktitut
204,ile,Interlingue; Occidental,ile,Interlingue
205,ilo,Iloko,ilo,Iloko
206,ina,Interlingua (International Auxiliary Language Association),ina,Interlingua (International Auxiliary Language Association)
207,inc,Indic languages,inc,Indic languages
208,ind,Indonesian,ind,Indonesian
209,ine,Indo-European languages,ine,Indo-European languages
210,inh,Ingush,inh,Ingush
211,ipk,Inupiaq,ipk,Inupiaq
212,ira,Iranian languages,ira,Iranian languages
213,iro,Iroquoian languages,iro,Iroquoian languages
214,ita,Italian,ita,Italian
215,jav,Javanese,jav,Javanese
216,jbo,Lojban,jbo,Lojban
217,jpn,Japanese,jpn,Japanese
218,jpr,Judeo-Persian,jpr,Judeo-Persian
219,jrb,Judeo-Arabic,jrb,Judeo-Arabic
220,kaa,Kara-Kalpak,kaa,Kara-Kalpak
221,kab,Kabyle,kab,Kabyle
222,kac,Kachin; Jingpho,kac,Kachin
223,kal,Kalaallisut; Greenlandic,kal,Kalaallisut
224,kam,Kamba,kam,Kamba (Kenya)
225,kan,Kannada,kan,Kannada
226,kar,Karen languages,kar,Karen languages
227,kas,Kashmiri,kas,Kashmiri
228,kau,Kanuri,kau,Kanuri
229,kaw,Kawi,kaw,Kawi
230,kaz,Kazakh,kaz,Kazakh
231,kbd,Kabardian,kbd,Kabardian
232,kha,Khasi,kha,Khasi
233,khi,Khoisan languages,khi,Khoisan languages
234,khm,Central Khmer,khm,Khmer
235,kho,Khotanese; Sakan,kho,Khotanese
236,kik,Kikuyu; Gikuyu,kik,Kikuyu
237,kin,Kinyarwanda,kin,Kinyarwanda
238,kir,Kirghiz; Kyrgyz,kir,Kirghiz
239,kmb,Kimbundu,kmb,Kimbundu
240,kok,Konkani,kok,Konkani (macrolanguage)
